ENSEMBL	SYMBOL	log2FoldChange	lfcSE	stat	pvalue	padj	foldChange
ENSG00000000003.14	TSPAN6	0.155166543641451	0.0835960351897346	1.85614716402848	0.0634325847211051	NA	1.1135501582105
ENSG00000000005.5	TNMD	NA	NA	NA	NA	NA	NA
ENSG00000000419.12	DPM1	-0.201782423062349	0.124362875306555	-1.62252941293738	0.104690040561218	0.27675944549742	-1.15011842764308
ENSG00000000457.13	SCYL3	0.0392981713887979	0.100745065530814	0.390075396563994	0.696480795353779	0.834042537844527	1.0276138012187
ENSG00000000460.16	C1orf112	-0.0644469753292732	0.104304947162149	-0.617870744223534	0.536660545292332	0.72446011037588	-1.0456840235229
ENSG00000000938.12	FGR	-0.366103461053908	0.0948412886697332	-3.86016961798983	0.000113308345353883	0.00199940034049519	-1.28886705664504
ENSG00000000971.15	CFH	0.0293618548576443	0.083684665193634	0.350863025976208	0.725691111205346	NA	1.02056060280689
ENSG00000001036.13	FUCA2	-0.0165923568256192	0.0995715534539297	-0.166637520959199	0.867655268991636	0.933631935337441	-1.01156733549688
ENSG00000001084.10	GCLC	0.0380735298135844	0.103265062114247	0.368697108528941	0.712353504209325	0.843479901490941	1.0267418743221
ENSG00000001167.14	NFYA	-0.03457914203226	0.0752278590527208	-0.459658728397766	0.645761197853609	0.801570968646071	-1.02425798647814
ENSG00000001460.17	STPG1	0.288033165883589	0.117696193231931	2.44725983036675	0.0143947025099691	0.0743274003783199	1.22097458113421
ENSG00000001461.16	NIPAL3	0.243043103787569	0.0813460089054779	2.98776924716711	0.00281021641862357	0.0229544501338543	1.1834863805651
ENSG00000001497.16	LAS1L	0.062003423568613	0.0841894315290952	0.736475142336423	0.461441589830423	0.665519683449596	1.04391440466622
ENSG00000001561.6	ENPP4	-0.0047787128478428	0.142828960006752	-0.0334575904467615	0.973309684802957	0.987337255944642	-1.0033178432349
ENSG00000001617.11	SEMA3F	0.00927876380083463	0.18077223883397	0.0513284775399429	0.959063776211989	0.980049573762574	1.00645227579006
ENSG00000001626.14	CFTR	0.00878581277445779	0.0347256935870681	0.253006113540369	0.800263488944357	NA	1.00610844225842
ENSG00000001629.9	ANKIB1	0.0245196432227102	0.092357919889484	0.265485009320809	0.790635856491927	0.892372711157792	1.01714097054761
ENSG00000001630.15	CYP51A1	-0.441727387163352	0.106212178300331	-4.15891467656659	3.19763306210699e-05	0.000736507841855319	-1.35822960811953
